Ne20/Ne22	ratio of neon isotope Ne20 to Ne22
Ne21	neon isotope Ne21
Ne21/He4	ratio of neon isotope Ne21 to helium isotope He4
Ne21/Ne20	ratio of neon isotope Ne21 to Ne20
Ne21/Ne22	ratio of neon isotope Ne21 to Ne22
Ne22	neon isotope Ne22
Ne22/Ne20	ratio of neon isotope Ne22 to Ne20
Ne22/Ne21	ratio of neon isotope Ne22 to Ne21
Ne23	neon isotope Ne23
NH3	ammonia
NH4	ammonium
Ni	nickel
NiO	nickel oxide
NO2	nitrogen dioxide
NO3	nitrate
O	oxygen
O17/O16	ratio of oxygen isotopes O17 to O16
O18/O16	ratio of oxygen isotopes O18 to O16
O2	dioxygen
OH	hydroxide
Os	osmium
Os(I)	common osmium at initial age
Os184/Os188	ratio of osmium isotopes Os184 to Os188
Os186/Os188	ratio of osmium isotopes Os186 to Os188
Os187/Os186	ratio of osmium isotopes Os187 to Os186
Os187/Os188	ratio of osmium isotopes Os187 to Os188
Os187/Os188(I)	ratio of osmium isotopes Os187 to Os188 at initial age
Os187/Os188(T)	ratio of osmium isotopes Os187 to Os188, time corrected
Os188	osmium isotope Os188
Os188/Os192	ratio of osmium isotopes Os188 to Os192
Os189/Os188	ratio of osmium isotopes Os189 to Os188
Os190/Os188	ratio of osmium isotopes Os190 to Os188
Os192/Os188	ratio of osmium isotopes Os192 to Os188
P	phosphorus
P(ORG)	phosphorous, organic
P2O3	phosphorus trioxide
P2O5	phosphorus oxide
Pa	protactinium
Pa231	protactinium isotope Pa231
Pa231_ACTIVITY	protactinium isotope Pa231, reported as activity
Pa231/Th230	ratio of protactinium isotope Pa231 to thorium isotope Th230
Pa231/U235_ACTIVITY	ratio of protactinium isotope Pa231 to uranium isotope U235, reported as activity
Pa231_XS	excess protactinium Pa231
Pb	lead
Pb204	lead isotope Pb204
Pb204_Pb206	ratio of lead isotopes Pb204 to Pb206
Pb204_Pb208	ratio of lead isotopes Pb204 to Pb208
Pb206	lead isotope 206
Pb206_Pb204	ratio of lead isotopes Pb206 to Pb204
Pb206/Pb204(I)	ratio of lead isotopes Pb206 to Pb204 at initial age
Pb206/Pb204(T)	ratio of lead isotopes Pb206 to Pb204, time corrected
Pb206/Pb207	ratio of lead isotopes Pb206 to Pb207
Pb206/Pb208	ratio of lead isotopes Pb206 to Pb208
Pb206/U235	ratio of lead isotope Pb206 to uranium isotope U235
Pb206/U238	ratio of lead isotope Pb206 to uranium isotope U238
Pb206/U238(T)	ratio of lead isotope Pb206 to uranium isotope U238, time corrected
Pb207	lead isotope Pb207
Pb207/Pb204	ratio of lead isotopes Pb207 to Pb204
Pb207/Pb204(I)	ratio of lead isotopes Pb207 to Pb204 at initial age
Pb207/Pb204(T)	ratio of lead isotopes Pb207 to Pb204, time corrected
Pb207/Pb206	ratio of lead isotopes Pb207 to Pb206
Pb207/Pb206(I)	ratio of lead isotopes Pb207 to Pb206 at initial age
Pb207/Pb208	ratio of lead isotopes Pb207 to Pb208
Pb207/U235	ratio of lead isotope Pb207 to uranium isotope U235
Pb207/U235(T)	ratio of lead isotope Pb207 to uranium isotope U235, time corrected
Pb208	 lead isotope Pb208
Pb208/Pb204	ratio of lead isotopes Pb208 to Pb204
Pb208/Pb204(I)	ratio of lead isotopes Pb208 to Pb204 at initial age
Pb208/Pb204(T)	ratio of lead isotopes Pb208 to Pb204, time corrected
Pb208/Pb206	ratio of lead isotopes Pb208 to Pb206
Pb208/Pb206(I)	ratio of lead isotopes Pb208 to Pb206 at initial age
Pb208/Th232	ratio of lead isotope Pb208 to thorium isotope Th232
Pb208/Th232(T)	ratio of lead isotope Pb208 to thorium isotope Th232, time corrected
Pb210	lead isotope Pb210
Pb210_ACTIVITY	lead isotope Pb210, reported as activity
Pb210/Ra226	ratio of lead isotope Pb210 to radium isotope Ra226
Pb210/Ra226_ACTIVITY	ratio of lead isotope Pb210 to radium isotope Ra226, reported as activity
Pb210/U238	ratio of lead isotope Pb210 to uranium isotope U238
Pb210_XS	excess lead Pb210
PbO	lead oxide
Pd	palladium
pH	pH
Po210	polonium isotope Po210
Po210_ACTIVITY	polonium isotope Po210, reported as activity
Po210/Pb210	ratio of polonium isotope Po210 to lead isotope Pb210
PO4	phosphate
Pr	praseodymium
Pr2O3	praseodymium oxide
Pr6O11	praseodymium (III, IV) oxide
PRESS	pressure
Pt	platinum
Pt190/Os188	ratio of platinum isotope Pt190 to osmium isotope Os188
r2 	 the correlation coefficient used to calculate the best-fit line
Ra	radium
Ra226	radium isotope Ra226
Ra226_ACTIVITY	radium isotope Ra226, reported as activity
Ra226/Th230	ratio of radium isotope Ra226 to thorium isotope Th230
Ra226/Th230/ACTIVITY	ratio of radium isotope Ra226 to thorium isotope Th230, reported as activity
Rb	rubidium
Rb87	rubidium isotope Rb87
Rb87/Rb86	ratio of rubidium isotopes Rb87 to Rb86
Rb87/Sr86	ratio of rubidium isotope Rb87 to strontium isotope Sr86
Re	rhenium
Re187/Os186	ratio of rhenium isotope Re187 to osmium isotope Os186
Re187/Os188	ratio of rhenium isotope Re187 to osmium isotope Os188
Re187/Os189	ratio of rhenium isotope Re187 to osmium isotope Os189
Rh	rhodium
Ru	ruthenium
S	sulfur
S(TOT)	total sulfur
S_(SLFI)	sulfur present as sulfide
S_PY	sulfur present in pyrite form
SAL	salinity
Sb	antimony
Sc	scandium
Sc2O3	scandium oxide
Sc46	scandium isotope Sc46
Se	selenium
Si	silica
Si(AMORPH)	amorphous silica
SiO2	silica oxide
SIOH	sio2, high pressure
Sm	samarium
Sm144/Sm152	ratio of samarium isotopes Sm144 to Sm152
Sm147	samarium isotope Sm147
Sm147/Nd143	ratio of samarium isotope Sm147 to neodymium isotope Nd143
Sm147/Nd144	ratio of samarium isotope Sm147 to neodymium isotope Nd144
Sm147/Nd146	ratio of samarium to neodymium isotopes Sm147 to Nd146
Sm148/Sm152	ratio of samarium isotopes Sm148 to Sm152
Sm149/Sm152	ratio of samarium isotopes Sm149 to Sm152
Sm150/Sm152	ratio of samarium isotopes Sm150 to Sm152
Sm154/Sm152	ratio of samarium isotopes Sm154 to Sm152
Sm2O3	samarium oxide
Sn	tin
SO2	sulfur dioxide
SO3	sulfur trioxide
SO4	sulfate
Sr	strontium
Sr/Ca	ratio of Sr to Ca
Sr84/Sr86	ratio of strontium isotopes Sr84 to Sr86
Sr84/Sr88	ratio of strontium isotopes Sr84 to Sr88
Sr86	strontium isotope 86
Sr86/Sr88	ratio of strontium isotopes Sr86 to Sr88
Sr87/Sr86	ratio of strontium isotopes Sr87 to Sr86
Sr87/Sr86(I)	ratio of strontium isotopes Sr87 to Sr86 at initial age
Sr87/Sr86(T)	ratio of strontium isotopes Sr87 to Sr86, time corrected
Sr87/Sr88	ratio of strontium isotopes Sr87 to Sr88
Sr88/Sr86	ratio of strontium isotopes Sr88 to Sr86
SrO	strontium oxide
Ta	tantalum
Ta2O5	tantalum oxide
TALC	talc
Tb	terbium
Tb2O3	terbium oxide
Te	tellurium
TEMP	temperature
Th	thorium
Th227_ACTIVITY	Th227 reported as activity
Th228/Th232	ratio of thorium isotopes Th228 to Th232
Th230	thorium isotope Th230
Th230_ACTIVITY	thorium isotope Th230, reported as activity
Th230/Th232	ratio of thorium isotopes Th230 to Th232
Th230/Th232_ACTIVITY	ratio of thorium isotopes Th230 to Th232, reported as activity
Th230/U238	ratio of thorium isotope Th230 to uranium isotope U238
Th230_U238_ACTIVITY	ratio of thorium isotope Th230 to uranium isotope U238, reported as activity
Th230_XS	excess thorium 230
Th232	thorium 232
Th232_ACTIVITY	thorium isotope Th232, reported as activity
Th232_Pb204	ratio of thorium isotope Th232 to lead isotope Pb204
Th232_Pb208	ratio of thorium isotope Th232 to lead isotope Pb208
Th232_Th230	ratio of isotopes Th232 to Th230
Th232/Th230_ACTIVITY	ratio of isotopes Th232 to Th230 measured as activity
Th232/U238	ratio of thorium isotope Th232 to uranium isotope U238
Th234	thorium 234
Th234_XS	thorium 234 excess
Th238/Th232_ACTIVITY	ratio of thorium isotopes Th238 to Th232, reported as activity
ThO	thorium monoxide
ThO2	thorium dioxide
Ti	titanium
Ti2O3	titanium(III) oxide
TIC	total inorganic carbon
TI-MT	ti-magnetite
TI-NB	titanoniobate
TiO	titanium(II) oxide
TiO2	titanium oxide
Tl	thallium
Tl203/Tl205	ratio of thallium isotopes Tl203 to Tl205
Tl205/Tl203	ratio of thallium isotopes Tl205 to Tl203
Tm	thulium
Tm2O3	thulium oxide
TOC	total organic carbon
TOTAL	Total weight percent of anlyzed parameters
U	uranium
U/Zr91	ratio of uranium to zirconium isotope Zr91
U/Zr92	ratio of uranium to zirconium isotope Zr92
U230/Th232_ACTIVITY	ratio of uranium isotope U230 to thorium isotope Th232, reported as activity
U234	uranium isotope U234
U234_ACTIVITY	uranium isotope U234, reported as activity
U234/U238	ratio of uranium isotopes U234 to U238
U234/U238_ACTIVITY	ratio of uranium isotopes U234 to U238, measured as activity
U234/U238_ACTIVITY(T)	ratio of uranium isotopes U234 to U238, measured as activity at time t
U234/U238_ACTIVITY	ratio of uranium isotopes U234 to U238, reported as activity
U235/Pb204	ratio of uranium isotope U235 to lead isotope Pb204
U235/Pb207	ratio of uranium isotope U235 to lead isotope Pb207
U235/U234	ratio of isotopes U235 to U234
U236/Pb204	ratio of uranium isotope U236 to lead isotope Pb204
U236/U238	ratio of isotopes U236 to U238
U238	uranium isotope U238
U238_ACTIVITY	uranium isotope U238, reported as activity
U238/Pb204	ratio of uranium isotope U238 to lead isotope Pb204
U238/Pb206	ratio of uranium isotope U238 to lead isotope Pb206
U238/Pb208	ratio of uranium isotope U238 to lead isotope Pb208
U238/Th230	ratio of uranium isotope U238 to thorium isotope Th230
U238/Th230_ACTIVITY	ratio of uranium isotope U238 to thorium isotope Th230, reported as activity
U238/Th232	ratio of uranium isotope U238 to thorium isotope Th232
U238/Th232_ACTIVITY	ratio of uranium isotope U238 to thorium isotope Th232, reported as activity
UO2	uranium oxide
V	vanadium
V2O3	vanadium sesquioxide
V2O5	vanadium pentoxide
V48	vanadium isotope V48
W	tungsten
WO3	tungsten trioxide
Xe	xenon
Xe124	xenon isotope xe124
Xe124/Xe126	ratio of xenon isotopes Xe124 to Xe126
Xe124/Xe130	ratio of xenon isotopes Xe124 to Xe130
Xe124/Xe132	ratio of xenon isotopes Xe124 to Xe132
Xe126	xenon isotope Xe126
Xe126/Xe130	ratio of xenon isotopes Xe126 to Xe130
Xe126/Xe132	ratio of xenon isotopes Xe126 to Xe132
Xe128	xenon isotope Xe128
Xe128/Xe130	ratio of xenon isotopes Xe128 to Xe130
Xe128/Xe132	ratio of xenon isotopes Xe128 to Xe132
Xe129	xenon isotope Xe129
Xe129/Xe130	ratio of xenon isotopes Xe129 to Xe130
Xe129/Xe132	ratio of xenon isotopes Xe129 to Xe132
Xe129/Xe136	ratio of xenon isotopes Xe129 to Xe136
Xe130	xenon isotope Xe130
Xe130/Xe132	ratio of xenon isotopes Xe130 to Xe132
Xe131	xenon isotope Xe131
Xe131/Xe126	ratio of xenon isotopes Xe131 to Xe126
Xe131/Xe130	ratio of xenon isotopes Xe131 to Xe130
Xe131/Xe132	ratio of xenon isotopes Xe131 to Xe132
Xe132	xenon isotope Xe132
Xe132/Xe130	ratio of xenon isotopes Xe132 to Xe130
Xe134	xenon isotope Xe134
Xe134/Xe130	ratio of xenon isotopes Xe134 to Xe130
Xe134/Xe132	ratio of xenon isotopes Xe134 to Xe132
Xe134/Xe136	ratio of xenon isotopes Xe134 to Xe136
Xe136	xenon isotope Xe136
Xe136/He4	ratio of xenon isotope Xe136 to helium isotope he4
Xe136/Xe130	ratio of xenon isotopes Xe136 to Xe130
Xe136/Xe132	ratio of xenon isotopes Xe136 to Xe132
Y	yttrium
Y2O3	Ytterbium(III) oxide
Yb	ytterbium
Yb176/Hf177	ratio of ytterbium isotope Yb176 to hafnium isotope Hf177
Yb2O3	yttrium oxide
YO2	yttrium oxide
Zn	zinc
ZnO	zinc oxide
Zr	zirconium
Zr2O3	zirconium pentoxide
ZrO2	zirconium oxide
