14C	Carbon 14 Age Determination
MS:TIMS	Thermal Ionization Mass Spectrometry
MS:TIMS-ID	Tims Isotope Dilution
MS:TIMS-ID-NEG	Negative Thermal Ionization Mass Spectrometry Isotope Dilution
MS:TIMS-NEG	Negative Thermal Ionization Mass Spectrometry
MS-ID	Mass Spectrometry Isotope Dilution
NAA	Neutron Activation Analysis
NAA-PG	Prompt-Gamma Neutron Activation Analysis
NCC	Neutron Coincidence Counting
NN	Unknown
NSFA-ID	Nickel Sulfide Fire Assay Isotope Dilution
NTIMS	Negative Thermal Ionization Mass Spectrometry
NTIMS-ID	Negative Thermal Ionization Mass Spectrometry Isotope Dilution
OES	Optical Emission Spectrometry
OPS	Optical Spectroscopy
PB-PB	Pb-Pb Dating
PC	Point-Counting
PEN	Penfield Method
PGNAA	Prompt-Gamma Neutron Activation Analysis
PMP	Proton Microprobe
POT	Potentiometry
PYHY	Pyrohydrolysis
RA-TH	Ra226_Th230 Age Determination
RB-SR	Rb-Sr Age Determination
REF	Refractometer
RE-OS	Rhenium-Osmium Age Determination
REP	Rock Eval Pyrolysis
RNAA	Radioanalytical Neutron Activation
RR	Rapid Rock
RSA	Radio-Isotopic Sample Age
SEM	Scanning Electron Microscope
SEM-EDS	SEM-Energy Dispersive X-rays
SIMS	Secondary Ion Mass Spectrometry
SMA	Solid's Moisture Analysis
SM-ND	Samarium-Neodymium Age Determination
SPEC	Spectrographic Analysis
SP-PH	Spectrophotometry
SS-ID	Spark Source Mass Spectrometry - Isotope Dilution
SSMS	Spark Source Mass Spectrometry
TH_PB	Thorium-Lead Age Determination
TIMS	Thermal Ionization Mass Spectrometer
TIMS-ID	Thermal Ionization Mass Spectrometry Isotope Dilution
TITR	Titration
U_PA	U235_Pa231 Age Determination
U_PB	Uranium Lead Age Determination
U_TH	U238_Th230 Age Determination
U_TH_HE	U-Th-He Age Determination
UNKNOWN	Unknown
U-PB	Uranium-Lead Age Determination
UV-ES	Ultraviolet Emission Spectrography
VAC-F	Vacuum Fusion
VOL	Volumetric Analysis
WET	Wet Chemistry
XANES	X-Ray Absorption Near-Edge Structure Spectroscopy
XRD	X-Ray Dispersive Spectrometry
XRF	X-Ray Fluorescence
XRF-EDS	Energy-Dispersive X-Ray Fluorescence
XRF-SCAN	X-Ray Fluorescence Scanning
