id,record_property_id,file_name,content_type,file_size,file_updated_at,identifier
8134,42269,20090423093004830.hkitagawa.png,image/png,496,2013-02-14 22:20:26.848357,20090423093004830.hkitagawa
8135,42270,20090423093006314.hkitagawa.png,image/png,497,2013-02-14 22:20:27.885799,20090423093006314.hkitagawa
8136,42271,20090423093007843.hkitagawa.png,image/png,497,2013-02-14 22:20:29.153629,20090423093007843.hkitagawa
8137,42272,20090423093009333.hkitagawa.png,image/png,495,2013-02-14 22:20:30.255778,20090423093009333.hkitagawa
8138,42273,20090423093010835.hkitagawa.png,image/png,499,2013-02-14 22:20:31.326179,20090423093010835.hkitagawa
8139,42274,20090423093012394.hkitagawa.png,image/png,496,2013-02-14 22:20:32.356829,20090423093012394.hkitagawa
8140,42275,20090423093013912.hkitagawa.png,image/png,489,2013-02-14 22:20:33.489179,20090423093013912.hkitagawa
8141,42276,20090423093015589.hkitagawa.png,image/png,492,2013-02-15 18:17:18.938135,20090423093015589.hkitagawa
8142,42277,20090423093017098.hkitagawa.png,image/png,498,2013-02-14 22:20:34.495686,20090423093017098.hkitagawa
8143,42278,20090423093018640.hkitagawa.png,image/png,495,2013-02-14 22:20:35.625434,20090423093018640.hkitagawa
8144,42279,20090423093020188.hkitagawa.png,image/png,496,2013-02-14 22:20:37.011891,20090423093020188.hkitagawa
8145,42280,20090423093021746.hkitagawa.png,image/png,486,2013-02-14 22:20:38.660785,20090423093021746.hkitagawa
8146,42281,20090423093023241.hkitagawa.png,image/png,494,2013-02-14 22:20:39.875284,20090423093023241.hkitagawa
8147,42282,20090423093024776.hkitagawa.png,image/png,498,2013-02-14 22:20:41.038135,20090423093024776.hkitagawa
8148,42283,20090423093026331.hkitagawa.png,image/png,495,2013-02-14 22:20:42.060767,20090423093026331.hkitagawa
8149,42284,20090423093028018.hkitagawa.png,image/png,495,2013-02-14 22:20:43.153294,20090423093028018.hkitagawa
8150,42285,20090423093029618.hkitagawa.png,image/png,496,2013-02-14 22:20:44.475634,20090423093029618.hkitagawa
8151,42286,20090423093031076.hkitagawa.png,image/png,494,2013-02-14 22:20:45.652235,20090423093031076.hkitagawa
8152,42287,20090423093032624.hkitagawa.png,image/png,497,2013-02-14 22:20:46.904341,20090423093032624.hkitagawa
8153,42288,20090423093034253.hkitagawa.png,image/png,489,2013-02-14 22:20:48.122272,20090423093034253.hkitagawa
8154,42289,20090423093035702.hkitagawa.png,image/png,496,2013-02-14 22:20:49.288212,20090423093035702.hkitagawa
8155,42290,20090423093037209.hkitagawa.png,image/png,491,2013-02-14 22:20:50.359949,20090423093037209.hkitagawa
8156,42291,20090423093038715.hkitagawa.png,image/png,493,2013-02-14 22:20:51.713851,20090423093038715.hkitagawa
8157,42292,20090423093040253.hkitagawa.png,image/png,492,2013-02-14 22:20:52.865863,20090423093040253.hkitagawa
8158,42293,20090423093041771.hkitagawa.png,image/png,493,2013-02-14 22:20:53.966261,20090423093041771.hkitagawa
8159,42294,20090423093043320.hkitagawa.png,image/png,497,2013-02-14 22:20:55.08833,20090423093043320.hkitagawa
8160,42295,20090423093044947.hkitagawa.png,image/png,495,2013-02-14 22:20:56.11574,20090423093044947.hkitagawa
8161,42296,20090423093046426.hkitagawa.png,image/png,496,2013-02-14 22:20:57.148227,20090423093046426.hkitagawa
8162,42297,20090423093047977.hkitagawa.png,image/png,492,2013-02-14 22:20:58.249775,20090423093047977.hkitagawa
8163,42298,20090423093049424.hkitagawa.png,image/png,497,2013-02-14 22:20:59.46999,20090423093049424.hkitagawa
8164,42299,20090423093050951.hkitagawa.png,image/png,500,2013-02-14 22:21:00.49315,20090423093050951.hkitagawa
8165,42300,20090423093052617.hkitagawa.png,image/png,496,2013-02-14 22:21:01.824771,20090423093052617.hkitagawa
8166,42301,20090423093054116.hkitagawa.png,image/png,498,2013-02-14 22:21:02.944723,20090423093054116.hkitagawa
8167,42302,20090423093055652.hkitagawa.png,image/png,496,2013-02-14 22:21:04.028745,20090423093055652.hkitagawa
8168,42303,20090423093057150.hkitagawa.png,image/png,496,2013-02-14 22:21:05.08137,20090423093057150.hkitagawa
8169,42304,20090423093058696.hkitagawa.png,image/png,493,2013-02-14 22:21:06.346138,20090423093058696.hkitagawa
8170,42305,20090423093100182.hkitagawa.png,image/png,494,2013-02-14 22:21:07.396453,20090423093100182.hkitagawa
8171,42306,20090423093101868.hkitagawa.png,image/png,497,2013-02-14 22:21:08.436443,20090423093101868.hkitagawa
8172,42307,20090423093103309.hkitagawa.png,image/png,498,2013-02-14 22:21:09.574889,20090423093103309.hkitagawa
8173,42308,20090423093104770.hkitagawa.png,image/png,492,2013-02-14 22:21:10.683076,20090423093104770.hkitagawa
8174,42309,20090423093106235.hkitagawa.png,image/png,495,2013-02-14 22:21:11.722106,20090423093106235.hkitagawa
8175,42310,20090423093107801.hkitagawa.png,image/png,494,2013-02-14 22:21:14.151252,20090423093107801.hkitagawa
8176,42311,20090423093109323.hkitagawa.png,image/png,490,2013-02-14 22:21:15.407117,20090423093109323.hkitagawa
8177,42312,20090423093110919.hkitagawa.png,image/png,496,2013-02-14 22:21:16.476129,20090423093110919.hkitagawa
8178,42313,20090423093112386.hkitagawa.png,image/png,491,2013-02-14 22:21:17.551823,20090423093112386.hkitagawa
8179,42314,20090423093113801.hkitagawa.png,image/png,488,2013-02-14 22:21:18.633163,20090423093113801.hkitagawa
8180,42315,20090423093115312.hkitagawa.png,image/png,497,2013-02-14 22:21:19.721478,20090423093115312.hkitagawa
8181,42316,20090423093116882.hkitagawa.png,image/png,502,2013-02-14 22:21:21.002149,20090423093116882.hkitagawa
8182,42317,20090423093118540.hkitagawa.png,image/png,500,2013-02-14 22:21:22.346577,20090423093118540.hkitagawa
8183,42318,20090423093120039.hkitagawa.png,image/png,496,2013-02-14 22:21:23.437813,20090423093120039.hkitagawa
8184,42319,20090423093121458.hkitagawa.png,image/png,496,2013-02-14 22:21:24.493164,20090423093121458.hkitagawa
8185,42320,20090423093122913.hkitagawa.png,image/png,494,2013-02-14 22:21:25.560345,20090423093122913.hkitagawa
8186,42321,20090423093124399.hkitagawa.png,image/png,497,2013-02-14 22:21:26.612904,20090423093124399.hkitagawa
8187,42322,20090423093125850.hkitagawa.png,image/png,500,2013-02-14 22:21:27.595008,20090423093125850.hkitagawa
8188,42323,20090423093127457.hkitagawa.png,image/png,495,2013-02-14 22:21:29.089118,20090423093127457.hkitagawa
8189,42324,20090423093128954.hkitagawa.png,image/png,499,2013-02-14 22:21:30.137596,20090423093128954.hkitagawa
8190,42325,20090423093130431.hkitagawa.png,image/png,502,2013-02-14 22:21:31.429786,20090423093130431.hkitagawa
8191,42326,20090423093132168.hkitagawa.png,image/png,492,2013-02-15 18:17:17.844245,20090423093132168.hkitagawa
8192,42327,20090423093133664.hkitagawa.png,image/png,503,2013-02-14 22:21:32.520172,20090423093133664.hkitagawa
8193,42328,20090423093135302.hkitagawa.png,image/png,499,2013-02-14 22:21:33.575782,20090423093135302.hkitagawa
8194,42329,20090423093136820.hkitagawa.png,image/png,496,2013-02-14 22:21:34.687637,20090423093136820.hkitagawa
8195,42330,20090423093138286.hkitagawa.png,image/png,496,2013-02-14 22:21:35.912725,20090423093138286.hkitagawa
8196,42331,20090423093139844.hkitagawa.png,image/png,502,2013-02-14 22:21:37.19168,20090423093139844.hkitagawa
8197,42332,20090423093141372.hkitagawa.png,image/png,494,2013-02-14 22:21:38.293421,20090423093141372.hkitagawa
8198,42333,20090423093142884.hkitagawa.png,image/png,494,2013-02-14 22:21:39.388927,20090423093142884.hkitagawa
8199,42334,20090423093144297.hkitagawa.png,image/png,497,2013-02-14 22:21:40.459592,20090423093144297.hkitagawa
8200,42335,20090423093145824.hkitagawa.png,image/png,495,2013-02-14 22:21:41.733083,20090423093145824.hkitagawa
8201,42336,20090423093147332.hkitagawa.png,image/png,492,2013-02-14 22:21:42.713088,20090423093147332.hkitagawa
8202,42337,20090423093148799.hkitagawa.png,image/png,495,2013-02-14 22:21:44.045366,20090423093148799.hkitagawa
8203,42338,20090423093150291.hkitagawa.png,image/png,494,2013-02-14 22:21:45.261071,20090423093150291.hkitagawa
8204,42339,20090423093151740.hkitagawa.png,image/png,490,2013-02-14 22:21:46.320536,20090423093151740.hkitagawa
8205,42340,20090423093153311.hkitagawa.png,image/png,498,2013-02-14 22:21:47.423049,20090423093153311.hkitagawa
8206,42341,20090423093154882.hkitagawa.png,image/png,490,2013-02-14 22:21:48.525802,20090423093154882.hkitagawa
8207,42342,20090423093156333.hkitagawa.png,image/png,496,2013-02-14 22:21:50.116493,20090423093156333.hkitagawa
8208,42343,20090423093158008.hkitagawa.png,image/png,494,2013-02-14 22:21:51.598157,20090423093158008.hkitagawa
8209,42344,20090423093159419.hkitagawa.png,image/png,493,2013-02-14 22:21:52.771806,20090423093159419.hkitagawa
8210,42345,20090423093200863.hkitagawa.png,image/png,502,2013-02-14 22:21:53.850434,20090423093200863.hkitagawa
8211,42346,20090423093202554.hkitagawa.png,image/png,496,2013-02-14 22:21:54.950783,20090423093202554.hkitagawa
8212,42347,20090423093204101.hkitagawa.png,image/png,491,2013-02-14 22:21:56.06738,20090423093204101.hkitagawa
8213,42348,20090423093205614.hkitagawa.png,image/png,493,2013-02-14 22:21:57.310083,20090423093205614.hkitagawa
8214,42349,20090423093207115.hkitagawa.png,image/png,496,2013-02-14 22:21:58.419577,20090423093207115.hkitagawa
8215,42350,20090423093208590.hkitagawa.png,image/png,495,2013-02-14 22:21:59.703811,20090423093208590.hkitagawa
8216,42351,20090423093210162.hkitagawa.png,image/png,496,2013-02-14 22:22:00.785647,20090423093210162.hkitagawa
8217,42352,20090423093211729.hkitagawa.png,image/png,499,2013-02-14 22:22:01.844803,20090423093211729.hkitagawa
8218,42353,20090423093213250.hkitagawa.png,image/png,492,2013-02-14 22:22:02.870241,20090423093213250.hkitagawa
8219,42354,20090423093215164.hkitagawa.png,image/png,501,2013-02-14 22:22:03.947536,20090423093215164.hkitagawa
8220,42355,20090423093216650.hkitagawa.png,image/png,492,2013-02-14 22:22:05.033754,20090423093216650.hkitagawa
8221,42356,20090423093218349.hkitagawa.png,image/png,493,2013-02-14 22:22:06.326694,20090423093218349.hkitagawa
8222,42357,20090423093219766.hkitagawa.png,image/png,492,2013-02-14 22:22:07.371795,20090423093219766.hkitagawa
8223,42358,20090423093221429.hkitagawa.png,image/png,493,2013-02-14 22:22:08.484793,20090423093221429.hkitagawa
8224,42359,20090423093222928.hkitagawa.png,image/png,492,2013-02-14 22:22:09.668821,20090423093222928.hkitagawa
8225,42360,20090423093224504.hkitagawa.png,image/png,497,2013-02-14 22:22:10.73602,20090423093224504.hkitagawa
8226,42361,20090423093225939.hkitagawa.png,image/png,491,2013-02-14 22:22:11.814951,20090423093225939.hkitagawa
8227,42362,20090423093227398.hkitagawa.png,image/png,495,2013-02-14 22:22:13.183938,20090423093227398.hkitagawa
8228,42363,20090423093228839.hkitagawa.png,image/png,494,2013-02-14 22:22:14.227684,20090423093228839.hkitagawa
8229,42364,20090423093230494.hkitagawa.png,image/png,494,2013-02-14 22:22:15.397201,20090423093230494.hkitagawa
8230,42365,20090423093231958.hkitagawa.png,image/png,503,2013-02-14 22:22:16.558174,20090423093231958.hkitagawa
8231,42366,20090423093233489.hkitagawa.png,image/png,494,2013-02-14 22:22:17.657572,20090423093233489.hkitagawa
8232,42367,20090423093234918.hkitagawa.png,image/png,495,2013-02-14 22:22:18.738176,20090423093234918.hkitagawa
8233,42368,20090423093236362.hkitagawa.png,image/png,494,2013-02-14 22:22:19.801939,20090423093236362.hkitagawa
8234,42369,20090423093237912.hkitagawa.png,image/png,498,2013-02-14 22:22:21.234535,20090423093237912.hkitagawa
8235,42370,20090423093239355.hkitagawa.png,image/png,495,2013-02-14 22:22:22.326035,20090423093239355.hkitagawa
8236,42371,20090423093240997.hkitagawa.png,image/png,494,2013-02-14 22:22:24.300054,20090423093240997.hkitagawa
8237,42372,20090423093242455.hkitagawa.png,image/png,499,2013-02-14 22:22:25.546873,20090423093242455.hkitagawa
8238,42373,20090423093243916.hkitagawa.png,image/png,497,2013-02-14 22:22:26.652435,20090423093243916.hkitagawa
8239,42374,20090423093245501.hkitagawa.png,image/png,495,2013-02-14 22:22:27.758687,20090423093245501.hkitagawa
8240,42375,20090423093247186.hkitagawa.png,image/png,493,2013-02-15 18:17:33.035229,20090423093247186.hkitagawa
8241,42376,20090423093248746.hkitagawa.png,image/png,494,2013-02-14 22:22:29.1313,20090423093248746.hkitagawa
8242,42377,20090423093250293.hkitagawa.png,image/png,501,2013-02-14 22:22:30.627873,20090423093250293.hkitagawa
8243,42378,20090423093251950.hkitagawa.png,image/png,492,2013-02-14 22:22:31.69349,20090423093251950.hkitagawa
8244,42379,20090423093253535.hkitagawa.png,image/png,494,2013-02-14 22:22:32.7371,20090423093253535.hkitagawa
8245,42380,20090423093254989.hkitagawa.png,image/png,492,2013-02-14 22:22:33.867788,20090423093254989.hkitagawa
8246,42381,20090423093256569.hkitagawa.png,image/png,498,2013-02-14 22:22:35.183086,20090423093256569.hkitagawa
8247,42382,20090423093258069.hkitagawa.png,image/png,496,2013-02-14 22:22:36.218585,20090423093258069.hkitagawa
8248,42383,20090423093259635.hkitagawa.png,image/png,500,2013-02-14 22:22:37.511253,20090423093259635.hkitagawa
8249,42384,20090423093301198.hkitagawa.png,image/png,490,2013-02-14 22:22:38.620516,20090423093301198.hkitagawa
8250,42385,20090423093302684.hkitagawa.png,image/png,497,2013-02-14 22:22:39.640834,20090423093302684.hkitagawa
8251,42386,20090423093304118.hkitagawa.png,image/png,496,2013-02-14 22:22:40.689608,20090423093304118.hkitagawa
8252,42387,20090423093305790.hkitagawa.png,image/png,498,2013-02-14 22:22:41.823781,20090423093305790.hkitagawa
8253,42388,20090423093307280.hkitagawa.png,image/png,500,2013-02-14 22:22:42.908401,20090423093307280.hkitagawa
8254,42389,20090423093308951.hkitagawa.png,image/png,496,2013-02-14 22:22:44.199773,20090423093308951.hkitagawa
8255,42390,20090423093310482.hkitagawa.png,image/png,493,2013-02-14 22:22:45.313037,20090423093310482.hkitagawa
8256,42391,20090423093311953.hkitagawa.png,image/png,495,2013-02-14 22:22:46.453473,20090423093311953.hkitagawa
8257,42392,20090423093313446.hkitagawa.png,image/png,499,2013-02-14 22:22:47.542915,20090423093313446.hkitagawa
8258,42393,20090423093314898.hkitagawa.png,image/png,491,2013-02-14 22:22:48.712803,20090423093314898.hkitagawa
8259,42394,20090423093316547.hkitagawa.png,image/png,496,2013-02-14 22:22:49.865918,20090423093316547.hkitagawa
8260,42395,20090423093318037.hkitagawa.png,image/png,493,2013-02-14 22:22:51.261123,20090423093318037.hkitagawa
8261,42396,20090423093319617.hkitagawa.png,image/png,496,2013-02-14 22:22:52.414564,20090423093319617.hkitagawa
8262,42397,20090423093321099.hkitagawa.png,image/png,497,2013-02-14 22:22:53.530552,20090423093321099.hkitagawa
8263,42398,20090423093322546.hkitagawa.png,image/png,494,2013-02-14 22:22:54.602692,20090423093322546.hkitagawa
8264,42399,20090423093324216.hkitagawa.png,image/png,496,2013-02-14 22:22:55.720599,20090423093324216.hkitagawa
8265,42400,20090423093325962.hkitagawa.png,image/png,497,2013-02-14 22:22:56.861811,20090423093325962.hkitagawa
8266,42401,20090423093327590.hkitagawa.png,image/png,497,2013-02-14 22:22:58.778646,20090423093327590.hkitagawa
8267,42402,20090423093329058.hkitagawa.png,image/png,494,2013-02-14 22:23:00.183216,20090423093329058.hkitagawa
8268,42403,20090423093330667.hkitagawa.png,image/png,493,2013-02-14 22:23:01.298604,20090423093330667.hkitagawa
8269,42404,20090423093332246.hkitagawa.png,image/png,503,2013-02-14 22:23:02.438347,20090423093332246.hkitagawa
8270,42405,20090423093333838.hkitagawa.png,image/png,493,2013-02-14 22:23:03.561081,20090423093333838.hkitagawa
8271,42406,20090423093335278.hkitagawa.png,image/png,493,2013-02-14 22:23:04.759487,20090423093335278.hkitagawa
8272,42407,20090423093336927.hkitagawa.png,image/png,496,2013-02-14 22:23:05.842384,20090423093336927.hkitagawa
8273,42408,20090423093338606.hkitagawa.png,image/png,492,2013-02-14 22:23:07.127607,20090423093338606.hkitagawa
8274,42409,20090423093340341.hkitagawa.png,image/png,496,2013-02-14 22:23:08.21126,20090423093340341.hkitagawa
8275,42410,20090423093341830.hkitagawa.png,image/png,500,2013-02-14 22:23:09.301283,20090423093341830.hkitagawa
8276,42411,20090423093343479.hkitagawa.png,image/png,495,2013-02-14 22:23:10.349886,20090423093343479.hkitagawa
